pais,semana,titulo,titulo_original,ano_lancamento,duracao_filme,generos,faixa_tempo
Brazil,2023-08-27,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018,128,"Action,Adventure,Sci-Fi",Filmes Longos
Brazil,2023-08-13,Stuart Little,Stuart Little,1999,84,"Adventure,Comedy,Family",Filmes Médios
Brazil,2023-08-13,xXx: Return of Xander Cage,xXx: Return of Xander Cage,2017,107,"Action,Adventure,Thriller",Filmes Longos
Brazil,2023-08-06,No Ritmo da Fé,No Ritmo da Fé,2023,,"Drama,Musical,Romance",
Brazil,2023-08-06,Zom 100: Bucket List of the Dead,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,2023,128,"Action,Comedy,Fantasy",Filmes Longos
Brazil,2023-08-06,Big Nunu's Little Heist,Big Nunu's Little Heist,2023,91,"Action,Comedy,Crime",Filmes Médios
Brazil,2023-08-06,World War Z,World War Z,2013,116,"Action,Adventure,Horror",Filmes Longos
Brazil,2023-07-30,They Cloned Tyrone,They Cloned Tyrone,2023,122,"Comedy,Mystery,Sci-Fi",Filmes Longos
Brazil,2023-07-30,What's Your Number?,What's Your Number?,2011,106,"Comedy,Romance",Filmes Longos
Brazil,2023-07-16,Mr. Car and the Knights Templar,Pan Samochodzik i templariusze,2023,110,"Adventure,Drama,Family",Filmes Longos
Brazil,2023-07-09,Out of Death,Out of Death,2021,96,"Crime,Thriller",Filmes Médios
Brazil,2023-06-18,The Wonder Weeks,"Oei, ik groei!",2023,91,"Comedy,Drama",Filmes Médios
Brazil,2023-06-18,Black Clover: Sword of the Wizard King,Black Clover: Sword of the Wizard King,2023,110,"Action,Adventure,Animation",Filmes Longos
Brazil,2023-06-11,The Company Men,The Company Men,2010,104,Drama,Filmes Longos
Brazil,2023-06-04,Clifford the Big Red Dog,Clifford the Big Red Dog,2021,96,"Adventure,Comedy,Family",Filmes Médios
Brazil,2023-05-28,"Big Mommas: Like Father, Like Son","Big Mommas: Like Father, Like Son",2011,107,"Action,Comedy,Crime",Filmes Longos
Brazil,2023-05-21,Big Momma's House,Big Momma's House,2000,99,"Action,Comedy,Crime",Filmes Médios
Brazil,2023-05-14,1408,1408,2007,104,"Fantasy,Horror,Mystery",Filmes Longos
Brazil,2023-04-23,Mighty Morphin Power Rangers: Once & Always,Mighty Morphin Power Rangers: Once & Always,2023,55,"Action,Adventure,Family",Filmes Médios
Brazil,2023-04-09,Ghost Rider,Ghost Rider,2007,110,"Action,Fantasy,Thriller",Filmes Longos
Brazil,2023-03-19,Uma Quase Dupla,Uma Quase Dupla,2018,90,"Action,Comedy,Crime",Filmes Médios
Brazil,2023-03-19,Last Stop 174,Última Parada 174,2008,110,"Crime,Drama,Thriller",Filmes Longos
Brazil,2023-03-12,10 Days of a Good Man,Iyi Adamin 10 Günü,2023,124,"Crime,Drama,Mystery",Filmes Longos
Brazil,2023-03-05,Tonight You're Sleeping with Me,Dzisiaj spisz ze mna,2023,92,"Drama,Romance",Filmes Médios
Brazil,2023-02-26,Elite Squad,Tropa de Elite,2007,115,"Action,Crime,Drama",Filmes Longos
Brazil,2023-02-19,Re/Member,Re/Member,2022,102,"Drama,Horror,Mystery",Filmes Longos
Brazil,2023-02-19,All the Places,A Todas Partes,2023,97,"Adventure,Comedy,Drama",Filmes Médios
Brazil,2023-02-12,Felon,Felon,2008,104,"Crime,Thriller",Filmes Longos
Brazil,2023-02-05,The Hurricane Heist,The Hurricane Heist,2018,103,"Action,Adventure,Crime",Filmes Longos
Brazil,2023-01-29,Gully,Gully,2019,84,"Crime,Drama",Filmes Médios
Brazil,2023-01-22,Disconnect: The Wedding Planner,Disconnect: The Wedding Planner,2022,106,"Comedy,Romance",Filmes Longos
Brazil,2023-01-22,"I, Tonya","I, Tonya",2017,119,"Biography,Comedy,Drama",Filmes Longos
Brazil,2023-01-15,Next Day Air,Next Day Air,2009,84,"Action,Comedy,Crime",Filmes Médios
Brazil,2023-01-15,Over the Hedge,Over the Hedge,2006,83,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2023-01-08,Honest Thief,Honest Thief,2020,99,"Action,Thriller",Filmes Médios
Brazil,2023-01-08,How I Became a Gangster,Jak zostalem gangsterem. Historia prawdziwa,2019,140,"Crime,Drama",Filmes Longos
Brazil,2023-01-01,7 Women and a Murder,7 donne e un mistero,2021,82,"Comedy,Crime,Mystery",Filmes Médios
Brazil,2022-12-25,A Not So Merry Christmas,Reviviendo la Navidad,2022,100,"Comedy,Fantasy",Filmes Longos
Brazil,2022-12-25,The Volcano: Rescue from Whakaari,The Volcano: Rescue from Whakaari,2022,98,Documentary,Filmes Médios
Brazil,2022-12-18,The Marriage App,Matrimillas,2022,101,"Comedy,Romance",Filmes Longos
Brazil,2022-11-27,Christmas on Mistletoe Farm,Christmas on Mistletoe Farm,2022,102,"Comedy,Family",Filmes Longos
Brazil,2022-11-20,Colors of Love,Colors of Love,2021,85,"Drama,Romance",Filmes Médios
Brazil,2022-11-13,Olympus Has Fallen,Olympus Has Fallen,2013,119,"Action,Thriller",Filmes Longos
Brazil,2022-11-13,Enola Holmes,Enola Holmes,2020,123,"Action,Adventure,Crime",Filmes Longos
Brazil,2022-11-13,The Hunger Games,The Hunger Games,2012,142,"Action,Adventure,Sci-Fi",Filmes Longos
Brazil,2022-10-16,Old People,Old People,2022,101,Horror,Filmes Longos
Brazil,2022-10-09,The Tax Collector,The Tax Collector,2020,95,"Action,Crime,Drama",Filmes Médios
Brazil,2022-10-09,The Boss Baby,The Boss Baby,2017,97,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2022-10-02,Grace and Grit,Grace and Grit,2021,111,"Biography,Drama,Romance",Filmes Longos
Brazil,2022-10-02,A Jazzman's Blues,A Jazzman's Blues,2022,127,"Drama,Mystery,Romance",Filmes Longos
Brazil,2022-10-02,Jiu Jitsu,Jiu Jitsu,2020,102,"Action,Sci-Fi,Thriller",Filmes Longos
Brazil,2022-09-25,The Perfumier,Der Parfumeur,2022,96,"Crime,Drama,Mystery",Filmes Médios
Brazil,2022-09-25,El Jeremías,El Jeremías,2015,95,"Comedy,Drama,Family",Filmes Médios
Brazil,2022-09-25,I Used to Be Famous,I Used to Be Famous,2022,104,"Comedy,Drama,Music",Filmes Longos
Brazil,2022-09-11,The Equalizer,The Equalizer,2014,132,"Action,Crime,Thriller",Filmes Longos
Brazil,2022-09-04,Under Her Control,La jefa,2022,109,Drama,Filmes Longos
Brazil,2022-08-28,Blood Father,Blood Father,2016,88,"Action,Crime,Drama",Filmes Médios
Brazil,2022-08-21,The Angry Birds Movie 2,The Angry Birds Movie 2,2019,97,"Action,Adventure,Animation",Filmes Médios
Brazil,2022-08-21,River Runs Red,River Runs Red,2018,94,"Drama,Thriller",Filmes Médios
Brazil,2022-08-21,Royalteen,Royalteen,2022,107,"Drama,Romance",Filmes Longos
Brazil,2022-07-17,Under the Amalfi Sun,Sotto il sole di Amalfi,2022,95,"Comedy,Drama,Romance",Filmes Médios
Brazil,2022-07-10,The Mystery of Her,The Mystery of Her,2022,108,Drama,Filmes Longos
Brazil,2022-06-19,Centauro,Centauro,1988,,\N,
Brazil,2022-06-19,Trees of Peace,Trees of Peace,2021,97,Drama,Filmes Médios
Brazil,2022-06-12,The Baytown Outlaws,The Baytown Outlaws,2012,98,"Action,Comedy,Crime",Filmes Médios
Brazil,2022-06-12,Deep Impact,Deep Impact,1998,120,"Action,Drama,Sci-Fi",Filmes Longos
Brazil,2022-06-12,Term Life,Term Life,2016,93,"Action,Crime,Drama",Filmes Médios
Brazil,2022-06-05,Memoirs of a Geisha,Memoirs of a Geisha,2005,145,"Drama,Romance",Filmes Longos
Brazil,2022-05-29,F*ck Love Too,F*ck de liefde 2,2022,92,"Comedy,Romance",Filmes Médios
Brazil,2022-05-15,Operation Mincemeat,Operation Mincemeat,2021,128,"Drama,War",Filmes Longos
Brazil,2022-05-15,The Salvation,The Salvation,2014,92,"Action,Drama,Thriller",Filmes Médios
Brazil,2022-05-08,The Rhythm Section,The Rhythm Section,2020,109,"Action,Drama,Mystery",Filmes Longos
Brazil,2022-05-08,Body Cam,Body Cam,2020,96,"Horror,Mystery,Thriller",Filmes Médios
Brazil,2022-05-01,White Boy Rick,White Boy Rick,2018,111,"Crime,Drama",Filmes Longos
Brazil,2022-05-01,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,2016,118,"Action,Crime,Drama",Filmes Longos
Brazil,2022-05-01,The Mystery of Marilyn Monroe: The Unheard Tapes,The Mystery of Marilyn Monroe: The Unheard Tapes,2022,101,"Biography,Documentary",Filmes Longos
Brazil,2022-04-24,Never Grow Old,Never Grow Old,2019,100,"Drama,Western",Filmes Longos
Brazil,2022-04-17,A Dog's Way Home,A Dog's Way Home,2019,96,"Adventure,Drama,Family",Filmes Médios
Brazil,2022-04-17,Metal Lords,Metal Lords,2022,97,"Comedy,Music",Filmes Médios
Brazil,2022-04-10,Enforcement,Shorta,2020,108,"Action,Crime,Drama",Filmes Longos
Brazil,2022-04-10,Man of Tai Chi,Man of Tai Chi,2013,105,"Action,Drama",Filmes Longos
Brazil,2022-04-03,6 Underground,6 Underground,2019,128,"Action,Thriller",Filmes Longos
Brazil,2022-03-27,The Dead Don't Die,The Dead Don't Die,2019,104,"Comedy,Fantasy,Horror",Filmes Longos
Brazil,2022-03-13,Crô em Família,Crô em Família,2018,94,Comedy,Filmes Médios
Brazil,2022-02-27,Don't Kill Me,Non mi uccidere,2021,90,"Fantasy,Horror,Romance",Filmes Médios
Brazil,2022-02-06,My Best Friend Anne Frank,Mijn beste vriendin Anne Frank,2021,103,Drama,Filmes Longos
Brazil,2022-02-06,RED 2,RED 2,2013,116,"Action,Comedy,Crime",Filmes Longos
Brazil,2022-01-30,A Perfect Enemy,A Perfect Enemy,2020,89,"Drama,Thriller",Filmes Médios
Brazil,2022-01-30,My Father's Violin,Babamin Kemani,2022,112,Drama,Filmes Longos
Brazil,2022-01-30,The Possession of Hannah Grace,The Possession of Hannah Grace,2018,86,"Horror,Mystery,Thriller",Filmes Médios
Brazil,2022-01-23,The Mustang,The Mustang,2019,96,Drama,Filmes Médios
Brazil,2022-01-23,How I Fell in Love with a Gangster,Jak pokochalam gangstera,2022,185,"Crime,Drama",Filmes Muito Longos
Brazil,2022-01-16,Arthur and the Invisibles,Arthur et les Minimoys,2006,94,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2022-01-09,Backtrace,Backtrace,2018,92,"Action,Crime,Drama",Filmes Médios
Brazil,2022-01-09,Seal Team,Seal Team,2021,101,"Action,Animation,Comedy",Filmes Longos
Brazil,2022-01-02,Minnal Murali,Minnal Murali,2021,158,"Action,Comedy,Drama",Filmes Muito Longos
Brazil,2021-12-26,Spider-Man,Spider-Man,2002,121,"Action,Adventure,Sci-Fi",Filmes Longos
Brazil,2021-12-19,A Naija Christmas,A Naija Christmas,2021,121,"Comedy,Drama,Romance",Filmes Longos
Brazil,2021-12-12,David and the Elves,Dawid i Elfy,2021,105,"Comedy,Family,Fantasy",Filmes Longos
Brazil,2021-12-12,Troy,Troy,2004,163,Drama,Filmes Muito Longos
Brazil,2021-12-05,The Expendables 3,The Expendables 3,2014,126,"Action,Adventure,Thriller",Filmes Longos
Brazil,2021-11-28,The Transporter Refueled,The Transporter Refueled,2015,96,"Action,Thriller",Filmes Médios
Brazil,2021-11-21,Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween,2018,90,"Adventure,Comedy,Fantasy",Filmes Médios
Brazil,2021-11-21,Trolls,Trolls,2016,92,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2021-11-21,Central Intelligence,Central Intelligence,2016,107,"Action,Comedy,Crime",Filmes Longos
Brazil,2021-11-14,211,211,2018,86,"Action,Drama,Thriller",Filmes Médios
Brazil,2021-11-14,90 Minutes in Heaven,90 Minutes in Heaven,2015,121,Drama,Filmes Longos
Brazil,2021-11-07,Daddy's Home 2,Daddy's Home 2,2017,100,Comedy,Filmes Longos
Brazil,2021-11-07,The Girl in the Spider's Web,The Girl in the Spider's Web,2018,115,"Action,Adventure,Crime",Filmes Longos
Brazil,2021-11-07,Army of the Dead,Army of the Dead,2021,148,"Action,Crime,Drama",Filmes Longos
Brazil,2021-11-07,A Man Apart,A Man Apart,2003,109,"Action,Crime,Drama",Filmes Longos
Brazil,2021-10-31,Stuck Together,Huit Rue de l'Humanite,2021,125,Comedy,Filmes Longos
Brazil,2021-10-31,Nobody Sleeps in the Woods Tonight 2,W lesie dzis nie zasnie nikt II,2021,96,"Comedy,Horror,Thriller",Filmes Médios
Brazil,2021-10-24,Gran Torino,Gran Torino,2008,116,Drama,Filmes Longos
Brazil,2021-10-17,Anything for a Pop Star,Tudo por um Pop Star,2018,115,"Comedy,Family,Music",Filmes Longos
Brazil,2021-10-17,"My Brother, My Sister",Mio fratello mia sorella,2021,110,Drama,Filmes Longos
Brazil,2021-10-10,There's Someone Inside Your House,There's Someone Inside Your House,2021,96,"Horror,Mystery,Thriller",Filmes Médios
Brazil,2021-10-10,Luccas Neto em: O Mapa do Tesouro 2,Luccas Neto em: O Mapa do Tesouro 2,2021,80,Family,Filmes Médios
Brazil,2021-10-10,Ride Along 2,Ride Along 2,2016,102,"Action,Comedy,Crime",Filmes Longos
Brazil,2021-10-10,Pacific Rim,Pacific Rim,2013,131,"Action,Adventure,Sci-Fi",Filmes Longos
Brazil,2021-10-03,No One Gets Out Alive,No One Gets Out Alive,2021,87,"Drama,Horror,Mystery",Filmes Médios
Brazil,2021-10-03,The Seven Deadly Sins: Cursed by Light,Gekijouban Nanatsu no Taizai: Hikari ni Norowareshi Mono-tachi,2021,79,"Action,Adventure,Animation",Filmes Médios
Brazil,2021-09-19,O Candidato Honesto 2,O Candidato Honesto 2,2018,104,Comedy,Filmes Longos
Brazil,2021-09-12,Kung Fu Hustle,Kung fu,2004,99,"Action,Comedy,Fantasy",Filmes Médios
Brazil,2021-08-29,Blood and Money,Allagash,2020,89,"Drama,Thriller",Filmes Médios
Brazil,2021-08-29,The Witcher: Nightmare of the Wolf,The Witcher: Nightmare of the Wolf,2021,83,"Action,Adventure,Animation",Filmes Médios
Brazil,2021-08-22,Black Island,Black Island,1979,46,Thriller,Filmes Curtos
Brazil,2021-08-08,The 2nd,The 2nd,2020,93,"Action,Drama",Filmes Médios
Brazil,2021-08-01,Bartkowiak,Bartkowiak,2021,91,"Action,Crime,Sport",Filmes Médios
Brazil,2021-07-25,Um Suburbano Sortudo,Um Suburbano Sortudo,2016,100,Comedy,Filmes Longos
Brazil,2021-07-18,A Classic Horror Story,A Classic Horror Story,2021,95,"Drama,Horror,Mystery",Filmes Médios
Brazil,2021-07-11,The Huntsman: Winter's War,The Huntsman: Winter's War,2016,114,"Action,Adventure,Drama",Filmes Longos
Brazil,2021-07-11,This Little Love of Mine,This Little Love of Mine,2021,91,Romance,Filmes Médios
Brazil,2021-07-04,Skylines,Skylines,2020,113,"Action,Adventure,Sci-Fi",Filmes Longos
Brazil,2021-07-04,Wish Dragon,Wish Dragon,2021,98,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2021-07-04,Good on Paper,Good on Paper,2021,92,"Comedy,Romance",Filmes Médios
Brazil,2021-07-04,Bumblebee,Bumblebee,2018,114,"Action,Adventure,Sci-Fi",Filmes Longos
Brazil,2024-02-04,Badland Hunters,Hwang-ya,2024,107,"Action,Adventure,Drama",Filmes Longos
Brazil,2024-02-04,Lift,Lift,2024,107,"Action,Comedy,Crime",Filmes Longos
Brazil,2024-02-04,Sixty Minutes,60 Minuten,2024,88,"Action,Adventure,Drama",Filmes Médios
Brazil,2024-01-28,Sixty Minutes,60 Minuten,2024,88,"Action,Adventure,Drama",Filmes Médios
Brazil,2024-01-28,Badland Hunters,Hwang-ya,2024,107,"Action,Adventure,Drama",Filmes Longos
Brazil,2024-01-28,Lift,Lift,2024,107,"Action,Comedy,Crime",Filmes Longos
Brazil,2024-01-21,Lift,Lift,2024,107,"Action,Comedy,Crime",Filmes Longos
Brazil,2024-01-21,Sixty Minutes,60 Minuten,2024,88,"Action,Adventure,Drama",Filmes Médios
Brazil,2024-01-14,Lift,Lift,2024,107,"Action,Comedy,Crime",Filmes Longos
Brazil,2023-12-31,A Vampire in the Family,Meu Cunhado é um Vampiro,2023,89,"Comedy,Fantasy",Filmes Médios
Brazil,2023-12-31,Chicken Run: Dawn of the Nugget,Chicken Run: Dawn of the Nugget,2023,98,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2023-12-31,Leave the World Behind,Leave the World Behind,2023,138,"Drama,Mystery,Thriller",Filmes Longos
Brazil,2023-12-31,Leo,Leo,2023,164,"Action,Crime,Drama",Filmes Muito Longos
Brazil,2023-12-31,Leo,Leo,2023,102,"Animation,Comedy,Family",Filmes Longos
Brazil,2023-12-24,Chicken Run: Dawn of the Nugget,Chicken Run: Dawn of the Nugget,2023,98,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2023-12-24,Leave the World Behind,Leave the World Behind,2023,138,"Drama,Mystery,Thriller",Filmes Longos
Brazil,2023-12-24,Leo,Leo,2023,164,"Action,Crime,Drama",Filmes Muito Longos
Brazil,2023-12-24,Leo,Leo,2023,102,"Animation,Comedy,Family",Filmes Longos
Brazil,2023-12-17,Leave the World Behind,Leave the World Behind,2023,138,"Drama,Mystery,Thriller",Filmes Longos
Brazil,2023-12-17,Chicken Run: Dawn of the Nugget,Chicken Run: Dawn of the Nugget,2023,98,"Adventure,Animation,Comedy",Filmes Médios
Brazil,2023-12-17,Leo,Leo,2023,164,"Action,Crime,Drama",Filmes Muito Longos
Brazil,2023-12-17,Leo,Leo,2023,102,"Animation,Comedy,Family",Filmes Longos
Brazil,2023-12-17,Blood Vessel,Blood Vessel,2023,118,"Adventure,Drama,Thriller",Filmes Longos
Brazil,2023-12-17,Family Switch,Family Switch,2023,106,"Comedy,Family",Filmes Longos
Brazil,2023-12-17,Open Season,Chasse gardée,2023,101,Comedy,Filmes Longos
Brazil,2023-12-10,Leave the World Behind,Leave the World Behind,2023,138,"Drama,Mystery,Thriller",Filmes Longos
Brazil,2023-12-10,Family Switch,Family Switch,2023,106,"Comedy,Family",Filmes Longos
Brazil,2023-12-10,Leo,Leo,2023,164,"Action,Crime,Drama",Filmes Muito Longos
Brazil,2023-12-10,Leo,Leo,2023,102,"Animation,Comedy,Family",Filmes Longos
Brazil,2023-12-03,Leo,Leo,2023,164,"Action,Crime,Drama",Filmes Muito Longos
Brazil,2023-12-03,Leo,Leo,2023,102,"Animation,Comedy,Family",Filmes Longos
Brazil,2023-12-03,Family Switch,Family Switch,2023,106,"Comedy,Family",Filmes Longos
Brazil,2023-12-03,Last Call for Istanbul,Istanbul Için Son Çagri,2023,91,"Drama,Romance",Filmes Médios
Brazil,2023-12-03,Best. Christmas. Ever!,Best. Christmas. Ever!,2023,82,"Comedy,Romance",Filmes Médios
Brazil,2023-11-26,Leo,Leo,2023,164,"Action,Crime,Drama",Filmes Muito Longos
Brazil,2023-11-26,Leo,Leo,2023,102,"Animation,Comedy,Family",Filmes Longos
Brazil,2023-11-26,Jules,Jules,2023,87,"Comedy,Drama,Sci-Fi",Filmes Médios
Brazil,2023-11-26,Last Call for Istanbul,Istanbul Için Son Çagri,2023,91,"Drama,Romance",Filmes Médios
Brazil,2023-11-26,Best. Christmas. Ever!,Best. Christmas. Ever!,2023,82,"Comedy,Romance",Filmes Médios
Brazil,2023-11-26,The Killer,The Killer,2023,118,"Action,Adventure,Crime",Filmes Longos
Brazil,2023-11-19,The Killer,The Killer,2023,118,"Action,Adventure,Crime",Filmes Longos
Brazil,2023-11-19,Best. Christmas. Ever!,Best. Christmas. Ever!,2023,82,"Comedy,Romance",Filmes Médios
Brazil,2023-11-19,Wingwomen,Voleuses,2023,116,"Action,Comedy,Crime",Filmes Longos
Brazil,2023-11-19,Deep Fear,Deep Fear,2023,84,"Action,Horror,Thriller",Filmes Médios
Brazil,2023-11-19,Jules,Jules,2023,87,"Comedy,Drama,Sci-Fi",Filmes Médios
Brazil,2023-11-19,Burning Betrayal,O Lado Bom de ser Traída,2023,98,"Drama,Mystery,Romance",Filmes Médios
Brazil,2023-11-12,The Killer,The Killer,2023,118,"Action,Adventure,Crime",Filmes Longos
Brazil,2023-11-12,Wingwomen,Voleuses,2023,116,"Action,Comedy,Crime",Filmes Longos
Brazil,2023-11-12,Deep Fear,Deep Fear,2023,84,"Action,Horror,Thriller",Filmes Médios
Brazil,2023-11-12,Locked In,Locked In,2023,79,"Horror,Thriller",Filmes Médios
Brazil,2023-11-12,Locked In,Locked In,2023,96,"Mystery,Thriller",Filmes Médios
Brazil,2023-11-12,Locked In,Locked In,2023,77,"Mystery,Thriller",Filmes Médios
Brazil,2023-11-12,Burning Betrayal,O Lado Bom de ser Traída,2023,98,"Drama,Mystery,Romance",Filmes Médios
Brazil,2023-11-05,Wingwomen,Voleuses,2023,116,"Action,Comedy,Crime",Filmes Longos
Brazil,2023-11-05,Locked In,Locked In,2023,79,"Horror,Thriller",Filmes Médios
Brazil,2023-11-05,Locked In,Locked In,2023,96,"Mystery,Thriller",Filmes Médios
Brazil,2023-11-05,Locked In,Locked In,2023,77,"Mystery,Thriller",Filmes Médios
Brazil,2023-11-05,Burning Betrayal,O Lado Bom de ser Traída,2023,98,"Drama,Mystery,Romance",Filmes Médios
Brazil,2023-11-05,Pain Hustlers,Pain Hustlers,2023,123,"Crime,Drama",Filmes Longos
Brazil,2023-10-29,Burning Betrayal,O Lado Bom de ser Traída,2023,98,"Drama,Mystery,Romance",Filmes Médios
Brazil,2023-10-29,Heaven in Hell,Heaven in Hell,2023,120,"Drama,Romance",Filmes Longos
Brazil,2023-10-29,Old Dads,Old Dads,2023,104,Comedy,Filmes Longos
Brazil,2023-10-29,Pain Hustlers,Pain Hustlers,2023,123,"Crime,Drama",Filmes Longos
Brazil,2023-10-22,Heaven in Hell,Heaven in Hell,2023,120,"Drama,Romance",Filmes Longos
Brazil,2023-10-22,The Conference,Konferensen,2023,100,"Comedy,Horror,Mystery",Filmes Longos
Brazil,2023-10-22,Old Dads,Old Dads,2023,104,Comedy,Filmes Longos
Brazil,2023-10-22,Reptile,Reptile,2023,134,"Crime,Drama,Mystery",Filmes Longos
Brazil,2023-10-15,Ballerina,Ballerina,2023,92,"Action,Thriller",Filmes Médios
Brazil,2023-10-15,Nowhere,Nowhere,2023,,Drama,
Brazil,2023-10-15,Nowhere,Nowhere,2023,109,"Drama,Thriller",Filmes Longos
Brazil,2023-10-15,Nowhere,Invelle,2023,82,Animation,Filmes Médios
Brazil,2023-10-15,Reptile,Reptile,2023,134,"Crime,Drama,Mystery",Filmes Longos
Brazil,2023-10-15,Fair Play,Fair Play,2023,113,"Drama,Mystery,Thriller",Filmes Longos
Brazil,2023-10-15,The Conference,Konferensen,2023,100,"Comedy,Horror,Mystery",Filmes Longos
Brazil,2023-10-15,Forgotten Love,Znachor,2023,140,"Drama,Romance",Filmes Longos
Brazil,2023-10-08,Nowhere,Nowhere,2023,,Drama,
Brazil,2023-10-08,Nowhere,Nowhere,2023,109,"Drama,Thriller",Filmes Longos
Brazil,2023-10-08,Nowhere,Invelle,2023,82,Animation,Filmes Médios
Brazil,2023-10-08,Ballerina,Ballerina,2023,92,"Action,Thriller",Filmes Médios
Brazil,2023-10-08,Fair Play,Fair Play,2023,113,"Drama,Mystery,Thriller",Filmes Longos
